"Source:","C:\Users\TNT_SAMUEL\Documents\KiCad\7.0\projects\ATX PSU Bench Supply\ATX PSU Bench Supply.kicad_sch"
"Date:","19/04/2026 01:43:36"
"Tool:","Eeschema (7.0.0)"
"Generator:","F:\ProgramFiles\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","70"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","ADDR","Mfr. No","Mouser No"
"1","12","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C13, C14","0.1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","08055C104JAT2A","581-08055C104J"
"2","2","C11, C12","1uF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","KGM21AR71C105JU","581-KGM21AR71C105JU"
"3","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_3.2mm_M3_Pad_Via","~","","","","",""
"4","5","J1, J2, J4, J5, J7","4mm Banana Socket R","Connector:Conn_01x01_Socket","LIB_24.243.1:24.243.1","~","","","","Multicomp 24.243.1",""
"5","3","J3, J6, J8","4mm Banana Socket B","Connector:Conn_01x01_Socket","LIB_24.243.1:24.243.2","~","","","","Multicomp 24.243.2",""
"6","1","J9","Molex 39-30-1240","Connector:ATX-24","Connector_Molex:Molex_Mini-Fit_Jr_5569-24A2_2x12_P4.20mm_Horizontal","https://www.intel.com/content/dam/www/public/us/en/documents/guides/power-supply-design-guide-june.pdf#page=33","","","","39-30-1240","538-39-30-1240"
"7","1","J10","Molex 172448-0008","Connector_Generic:Conn_02x04_Top_Bottom","Connector_Molex:Molex_Mini-Fit_Jr_5569-08A2_2x04_P4.20mm_Horizontal","~","","","","172448-0008","538-172448-0008"
"8","1","J11","OLED-128x64","KLEEB_display:OLED-128x64","KLEEB_display:OLED-128x64","","","","ADDR: 0x3C/0x3D","",""
"9","7","J12, J13, J14, J15, J16, J17, J21","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~","","","","",""
"10","1","J18","Conn_01x08","Connector_Generic:Conn_01x08","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","~","","","","",""
"11","1","J19","Conn_01x05","Connector_Generic:Conn_01x05","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","",""
"12","1","J20","Conn_01x07","Connector_Generic:Conn_01x07","Connector_PinSocket_2.54mm:PinSocket_1x07_P2.54mm_Vertical","~","","","","",""
"13","1","Q1","50C02CH-TL-E","Device:Q_NPN_BEC","Package_TO_SOT_SMD:SOT-23_Handsoldering","~","","","","50C02CH-TL-E","863-50C02CH-TL-E"
"14","10","R1, R3, R4, R6, R7, R9, R10, R12, R13, R15","10","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CRCW080510R0FKEA","71-CRCW0805-10-E3"
"15","5","R2, R5, R8, R11, R14","0.005","Device:R","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","~","","","","MSMA2512R0050FEN","504-MSMA2512R0050FEN"
"16","2","R16, R17","1.65k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","DNP","","","CRCW08051K65FKEA","71-CRCW0805-1.65K-E3"
"17","1","R18","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CRCW08051K00FKEA","71-CRCW0805-1.0K-E3"
"18","1","R19","1.65k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CRCW08051K65FKEA","71-CRCW0805-1.65K-E3"
"19","1","R20","3.3k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CRCW08053K30FKEA","71-CRCW0805-3.3K-E3"
"20","1","R21","220","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","","","","CRCW0805220RFKEAC","71-CRCW0805220RFKEAC"
"21","2","SW1, SW2","SW_Push","Switch:SW_Push","Button_Switch_THT:SW_PUSH_6mm","~","","","","SKHHBWA010","688-SKHHBW"
"22","1","U1","rp2040-zero","KLEEB_mcu:rp2040-zero","KLEEB_mcu:rp2040-zero-tht","","","","","",""
"23","5","U2, U3, U4, U5, U6","INA219BIDR","Sensor_Energy:INA219BxD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/ina219.pdf","","","","INA219BIDR","595-INA219BIDR"
"24","1","U7","TLV75733PDBV","Regulator_Linear:TLV75733PDBV","Package_TO_SOT_SMD:SOT-23-5","https://www.ti.com/lit/ds/symlink/tlv757p.pdf","","","","TLV75733PDBVR","595-TLV75733PDBVR"
